   Frequency       O5aStrain        O5bStrain       O5cStrain
   4.8648100e+00   1.0431639e-18   5.2158196e-19   2.0863286e-19
   4.8693000e+00   1.0497104e-18   5.2485521e-19   2.0994216e-19
   4.8738000e+00   1.0558767e-18   5.2793836e-19   2.1117542e-19
   4.8783000e+00   1.0616611e-18   5.3083055e-19   2.1233230e-19
   4.8828000e+00   1.0670624e-18   5.3353123e-19   2.1341257e-19
   4.8873100e+00   1.0720818e-18   5.3604091e-19   2.1441644e-19
   4.8918300e+00   1.0770023e-18   5.3850115e-19   2.1540054e-19
   4.8963500e+00   1.0819267e-18   5.4096337e-19   2.1638542e-19
   4.9008700e+00   1.0868560e-18   5.4342800e-19   2.1737128e-19
   4.9054000e+00   1.0917905e-18   5.4589528e-19   2.1835819e-19
   4.9099300e+00   1.0967291e-18   5.4836454e-19   2.1934589e-19
   4.9144600e+00   1.1016718e-18   5.5083589e-19   2.2033443e-19
   4.9190000e+00   1.1066203e-18   5.5331018e-19   2.2132414e-19
   4.9235500e+00   1.1115729e-18   5.5578648e-19   2.2231466e-19
   4.9280900e+00   1.1165296e-18   5.5826483e-19   2.2330600e-19
   4.9326500e+00   1.1214913e-18   5.6074565e-19   2.2429833e-19
   4.9372000e+00   1.1264580e-18   5.6322903e-19   2.2529168e-19
   4.9417600e+00   1.1314287e-18   5.6571438e-19   2.2628582e-19
   4.9463300e+00   1.1364033e-18   5.6820168e-19   2.2728074e-19
   4.9509000e+00   1.1413832e-18   5.7069159e-19   2.2827671e-19
   4.9554700e+00   1.1463680e-18   5.7318399e-19   2.2927367e-19
   4.9600500e+00   1.1513568e-18   5.7567840e-19   2.3027143e-19
   4.9646300e+00   1.1563508e-18   5.7817540e-19   2.3127023e-19
   4.9692100e+00   1.1613497e-18   5.8067484e-19   2.3227000e-19
   4.9738000e+00   1.1663526e-18   5.8317633e-19   2.3327060e-19
   4.9784000e+00   1.1713605e-18   5.8568027e-19   2.3427217e-19
   4.9830000e+00   1.1763735e-18   5.8818675e-19   2.3527477e-19
   4.9876000e+00   1.1813905e-18   5.9069528e-19   2.3627818e-19
   4.9922100e+00   1.1863159e-18   5.9315798e-19   2.3726326e-19
   4.9968200e+00   1.1909340e-18   5.9546700e-19   2.3818687e-19
   5.0014300e+00   1.1952441e-18   5.9762207e-19   2.3904889e-19
   5.0060500e+00   1.1992462e-18   5.9962312e-19   2.3984931e-19
   5.0106800e+00   1.2029406e-18   6.0147031e-19   2.4058819e-19
   5.0153100e+00   1.2064238e-18   6.0321189e-19   2.4128482e-19
   5.0199400e+00   1.2099100e-18   6.0495499e-19   2.4198206e-19
   5.0245800e+00   1.2133991e-18   6.0669954e-19   2.4267988e-19
   5.0292200e+00   1.2168923e-18   6.0844616e-19   2.4337853e-19
   5.0338600e+00   1.2203886e-18   6.1019433e-19   2.4407779e-19
   5.0385100e+00   1.2238879e-18   6.1194398e-19   2.4477765e-19
   5.0431700e+00   1.2273914e-18   6.1369570e-19   2.4547834e-19
   5.0478200e+00   1.2308978e-18   6.1544891e-19   2.4617962e-19
   5.0524900e+00   1.2344072e-18   6.1720360e-19   2.4688150e-19
   5.0571500e+00   1.2379194e-18   6.1895971e-19   2.4758394e-19
   5.0618200e+00   1.2414359e-18   6.2071796e-19   2.4828724e-19
   5.0665000e+00   1.2449544e-18   6.2247720e-19   2.4899094e-19
   5.0711800e+00   1.2484767e-18   6.2423835e-19   2.4969540e-19
   5.0758600e+00   1.2520022e-18   6.2600112e-19   2.5040050e-19
   5.0805500e+00   1.2555318e-18   6.2776589e-19   2.5110641e-19
   5.0852500e+00   1.2590634e-18   6.2953171e-19   2.5181274e-19
   5.0899400e+00   1.2625991e-18   6.3129954e-19   2.5251987e-19
   5.0946400e+00   1.2661377e-18   6.3306886e-19   2.5322760e-19
   5.0993500e+00   1.2696804e-18   6.3484022e-19   2.5393614e-19
   5.1040600e+00   1.2732260e-18   6.3661303e-19   2.5464527e-19
   5.1087800e+00   1.2767748e-18   6.3838742e-19   2.5535502e-19
   5.1134900e+00   1.2803276e-18   6.4016379e-19   2.5606557e-19
   5.1182200e+00   1.2844932e-18   6.4224658e-19   2.5689869e-19
   5.1229500e+00   1.2897400e-18   6.4487001e-19   2.5794806e-19
   5.1276800e+00   1.2960708e-18   6.4803543e-19   2.5921422e-19
   5.1324100e+00   1.3034867e-18   6.5174336e-19   2.6069740e-19
   5.1371500e+00   1.3119876e-18   6.5599382e-19   2.6239758e-19
   5.1419000e+00   1.3209645e-18   6.6048228e-19   2.6419296e-19
   5.1466500e+00   1.3299505e-18   6.6497527e-19   2.6599016e-19
   5.1514000e+00   1.3389445e-18   6.6947227e-19   2.6778896e-19
   5.1561600e+00   1.3479465e-18   6.7397327e-19   2.6958936e-19
   5.1609200e+00   1.3569566e-18   6.7847831e-19   2.7139137e-19
   5.1656900e+00   1.3659756e-18   6.8298779e-19   2.7319516e-19
   5.1704600e+00   1.3750027e-18   6.8750135e-19   2.7500059e-19
   5.1752400e+00   1.3840378e-18   6.9201891e-19   2.7680761e-19
   5.1800200e+00   1.3930821e-18   6.9654106e-19   2.7861647e-19
   5.1848000e+00   1.4021343e-18   7.0106716e-19   2.8042691e-19
   5.1895900e+00   1.4111945e-18   7.0559726e-19   2.8223895e-19
   5.1943900e+00   1.4202637e-18   7.1013188e-19   2.8405280e-19
   5.1991800e+00   1.4293411e-18   7.1467056e-19   2.8586827e-19
   5.2039900e+00   1.4384264e-18   7.1921321e-19   2.8768533e-19
   5.2087900e+00   1.4475207e-18   7.2376038e-19   2.8950420e-19
   5.2136000e+00   1.4566229e-18   7.2831146e-19   2.9132463e-19
   5.2184200e+00   1.4657343e-18   7.3286714e-19   2.9314690e-19
   5.2232400e+00   1.4748537e-18   7.3742686e-19   2.9497079e-19
   5.2280700e+00   1.4839820e-18   7.4199099e-19   2.9679644e-19
   5.2328900e+00   1.4931184e-18   7.4655921e-19   2.9862373e-19
   5.2377300e+00   1.5022639e-18   7.5113197e-19   3.0045283e-19
   5.2425700e+00   1.5111227e-18   7.5556135e-19   3.0222458e-19
   5.2474100e+00   1.5193583e-18   7.5967914e-19   3.0387170e-19
   5.2522600e+00   1.5269688e-18   7.6348442e-19   3.0539381e-19
   5.2571100e+00   1.5339544e-18   7.6697721e-19   3.0679093e-19
   5.2619600e+00   1.5403141e-18   7.7015703e-19   3.0806285e-19
   5.2668200e+00   1.5463417e-18   7.7317085e-19   3.0926838e-19
   5.2716900e+00   1.5523744e-18   7.7618721e-19   3.1047492e-19
   5.2765600e+00   1.5584121e-18   7.7920608e-19   3.1168247e-19
   5.2814300e+00   1.5644559e-18   7.8222794e-19   3.1289122e-19
   5.2863100e+00   1.5705047e-18   7.8525234e-19   3.1410097e-19
   5.2911900e+00   1.5765594e-18   7.8827972e-19   3.1531193e-19
   5.2960800e+00   1.5826202e-18   7.9131013e-19   3.1652409e-19
   5.3009700e+00   1.5886871e-18   7.9434356e-19   3.1773746e-19
   5.3058700e+00   1.5947589e-18   7.9737948e-19   3.1895183e-19
   5.3107700e+00   1.6008369e-18   8.0041844e-19   3.2016741e-19
   5.3156800e+00   1.6069198e-18   8.0345990e-19   3.2138400e-19
   5.3205900e+00   1.6130086e-18   8.0650432e-19   3.2260176e-19
   5.3255000e+00   1.6191026e-18   8.0955132e-19   3.2382057e-19
   5.3304200e+00   1.6252026e-18   8.1260133e-19   3.2504057e-19
   5.3353400e+00   1.6313087e-18   8.1565434e-19   3.2626177e-19
   5.3402700e+00   1.6374208e-18   8.1871040e-19   3.2748420e-19
   5.3452000e+00   1.6435379e-18   8.2176894e-19   3.2870761e-19
   5.3501400e+00   1.6496610e-18   8.2483052e-19   3.2993224e-19
   5.3550800e+00   1.6557900e-18   8.2789502e-19   3.3115804e-19
   5.3600300e+00   1.6619242e-18   8.3096211e-19   3.3238488e-19
   5.3649800e+00   1.6680644e-18   8.3403223e-19   3.3361292e-19
